FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
CRECHES_CONVENIADAS.1982198,1982198,CRECHE COMUNITÁRIA MARIA BESSA,Creches Conveniadas,31281310,RUA,CLOVIS DE SOUZA MUNHOZ,53,,Lindéia,BARREIRO,POINT (598925.756835901 7789789.50192145)
CRECHES_CONVENIADAS.1983221,1983221,ASSOCIAÇÃO ARCO ENCANTADO,Creches Conveniadas,31375543,RUA,RADIALISTA MARIO MARCOS,49,,Céu Azul,VENDA NOVA,POINT (604534.063533865 7808230.83014428)
CRECHES_CONVENIADAS.1982213,1982213,CENTRO INFANTIL LAR FELIZ,Creches Conveniadas,31004081,RUA,MADRE PAULINA,64,,Diamante,BARREIRO,POINT (601195.91198318 7789877.45401906)
CRECHES_CONVENIADAS.1982988,1982988,CRECHE CASA DA CRIANCA,Creches Conveniadas,31308722,RUA,CARLOS ETIENE DE CASTRO,33,,Marçola,CENTRO-SUL,POINT (613934.323135235 7794986.10416813)
CRECHES_CONVENIADAS.1983402,1983402,ESTRELINHA BRILHANTE,Creches Conveniadas,31378003,RUA,ODILON MELO FRANCO,438,,Goiânia,NORDESTE,POINT (615262.090564344 7803442.55907131)
CRECHES_CONVENIADAS.1983403,1983403,IES,Creches Conveniadas,31377880,RUA,RADIALISTA CAETANO SILVA,105,,Céu Azul,VENDA NOVA,POINT (604897.08343267 7807448.47533466)
CRECHES_CONVENIADAS.1982080,1982080,INSTITUTO EDUCACIONAL PING-PONG,Creches Conveniadas,31324566,RUA,AUGUSTA ANDRADE LAGE,1197,,Jaqueline,NORTE,POINT (611776.509370644 7810502.70580884)
CRECHES_CONVENIADAS.1982074,1982074,OFICINA ESCOLA DE ANGELIS,Creches Conveniadas,31289833,RUA,SANTA CLARA DE ASSIS,96,,Minaslândia,NORTE,POINT (611831.220547548 7804341.67986782)
CRECHES_CONVENIADAS.1982214,1982214,SICRA - SOCIEDADE IRMÃOS DAS CRIANÇAS,Creches Conveniadas,31210064,RUA,MARCELO ROBSON DOS SANTOS,149,,Brasil Industrial,BARREIRO,POINT (603042.89040119 7788118.27209544)
CRECHES_CONVENIADAS.1982060,1982060,CENTRO INFANTIL NOSSA SENHORA MENINA,Creches Conveniadas,31329339,RUA,GIL EANES,77,,Taquaril,LESTE,POINT (616977.188105645 7797020.32010937)
CRECHES_CONVENIADAS.1983603,1983603,CSACA JARDIM VITÓRIA,Creches Conveniadas,31384380,RUA,SOLDADO MARIO NETO,45,,Jardim Vitória,NORDESTE,POINT (617858.124349668 7803811.09568061)
CRECHES_CONVENIADAS.1982537,1982537,CENTRO EDUCACIONAL ALICERCE PARA VIDA,Creches Conveniadas,31289922,RUA,PADRE PEDRO PINTO,1251,,Venda Nova,VENDA NOVA,POINT (608773.249190387 7808767.35903365)
CRECHES_CONVENIADAS.1983263,1983263,"INSTITUTO BETÂNIA PRIMEIROS PASSOS
",Creches Conveniadas,31377007,RUA,PADRE PEDRO PINTO,2435,,Candelária,VENDA NOVA,POINT (607882.279544104 7809420.03409542)
CRECHES_CONVENIADAS.1982068,1982068,CRECHE ASSISTENCIAL SÃO BERNARDO,Creches Conveniadas,31281387,RUA,ARMANDO RIBEIRO DOS SANTOS,105,,São Bernardo,NORTE,POINT (611052.078965866 7804826.59116553)
CRECHES_CONVENIADAS.1983582,1983582,CRECHE FELIX UNIDADE II,Creches Conveniadas,31384658,RUA,OSMAR COSTA,455,,Heliópolis,NORTE,POINT (611084.319542986 7805343.43966982)
CRECHES_CONVENIADAS.1983502,1983502,CRECHE PADRE EUSTAQUIO - UNIDADE II,Creches Conveniadas,31376973,RUA,SEARA,520,,Coqueiros,NOROESTE,POINT (602188.571457062 7798866.41263285)
CRECHES_CONVENIADAS.1982069,1982069,CRECHE COMUNITÁRIA CRISTO OPERÁRIO,Creches Conveniadas,31283606,RUA,RISOLETA PINTO SARDINHA,41,,Planalto,NORTE,POINT (610163.976797657 7806242.28300556)
CRECHES_CONVENIADAS.1983245,1983245,CRECHE CASINHA DA VOVO - FILIAL,Creches Conveniadas,31375560,RUA,DOUTOR FRANCISCO SILVEIRA,216,,Petrópolis,BARREIRO,POINT (601445.554919241 7786834.07349034)
CRECHES_CONVENIADAS.1982593,1982593,INSTITUTO PEDAGOGICO ILUMINAR,Creches Conveniadas,31355925,RUA,GOUVEIA,70,,Vila São Geraldo,LESTE,POINT (615249.614854 7799665.97570152)
CRECHES_CONVENIADAS.1983387,1983387,CSACA MONTES CLAROS,Creches Conveniadas,31379760,RUA,QUINHENTOS E QUINZE,285,,Montes Claros,NORDESTE,POINT (616107.278899717 7807017.63860057)
CRECHES_CONVENIADAS.1981826,1981826,CRECHE SÃO JOSÉ,Creches Conveniadas,31356115,RUA,PORANGA,127,,Dom Bosco,NOROESTE,POINT (604711.313306816 7798078.90463756)
CRECHES_CONVENIADAS.1981777,1981777,CRECHE MADRE GARCIA,Creches Conveniadas,31290335,RUA,PRINCIPAL,19,,Vila Barragem Santa Lúcia,CENTRO-SUL,POINT (610400.813937526 7793571.74205744)
CRECHES_CONVENIADAS.1981796,1981796,MORADA NOVA - CASA DA CRIANÇA,Creches Conveniadas,31320765,RUA,PRINCIPAL,531,,Vila Barragem Santa Lúcia,CENTRO-SUL,POINT (610507.086378813 7793212.11525843)
CRECHES_CONVENIADAS.1982516,1982516,CRECHE COMUNITÁRIA PEQUENO ALEXANDRE,Creches Conveniadas,31282260,RUA,ANTERO DE QUENTAL,49,,Santa Branca,PAMPULHA,POINT (608237.590899077 7806334.33426879)
CRECHES_CONVENIADAS.1982064,1982064,MOVIMENTO DE PROMOÇÃO SOCIAL - MOPS,Creches Conveniadas,31289990,RUA,ARAPARI,470,,Mariano de Abreu,LESTE,POINT (615892.27412578 7799527.31981685)
CRECHES_CONVENIADAS.1981845,1981845,CRUZADA DO BEM ELIZABETH SANTOS,Creches Conveniadas,31308625,RUA,BOGOTA,95,,Jardim América,OESTE,POINT (607569.240481356 7794540.65483805)
CRECHES_CONVENIADAS.1982056,1982056,INSTITUTO EDUCACIONAL ÁGAPE,Creches Conveniadas,31320552,RUA,CONDE D'EU,867,,Vera Cruz,LESTE,POINT (615526.315310081 7797747.82202846)
CRECHES_CONVENIADAS.1982078,1982078,ESCOLA E CRECHE SANTO TOMAZ DE AQUINO,Creches Conveniadas,31281581,RUA,DEZ DE NOVEMBRO,176,,São Tomáz,NORTE,POINT (609759.856214556 7805327.52920104)
CRECHES_CONVENIADAS.1981770,1981770,OBRAS PAVONIANAS,Creches Conveniadas,31320544,RUA,DIAS DE TOLEDO,99,,Coração de Jesus,CENTRO-SUL,POINT (609841.795169325 7793888.45759091)
CRECHES_CONVENIADAS.1982201,1982201,CRECHE COMUNITÁRIA PINGO DE GENTE,Creches Conveniadas,31257648,AVENIDA,SENADOR LEVINDO COELHO,600,,Tirol,BARREIRO,POINT (600954.556120637 7788971.87834636)
CRECHES_CONVENIADAS.1982196,1982196,CRECHE COMUNITÁRIA DO BAIRRO SANTA CECÍLIA JOÃO AUGUSTO BITARÃES FILHOS DE DEUS,Creches Conveniadas,31282413,AVENIDA,SENADOR LEVINDO COELHO,1167,,Santa Cecília,BARREIRO,POINT (600867.158416944 7788405.55362012)
CRECHES_CONVENIADAS.1983781,1983781,MUNDO FANTÁSTICO - VILA CEMIG,Creches Conveniadas,31383988,AVENIDA,SENADOR LEVINDO COELHO,4655,,Vila Independência I,BARREIRO,POINT (601375.784965591 7786254.49325921)
CRECHES_CONVENIADAS.1981894,1981894,CRECHE ESCOLA INFANTIL SÃO VICENTE DE PAULO,Creches Conveniadas,31257630,RUA,EURITA,461,,Santa Tereza,LESTE,POINT (613191.562218587 7797340.68490005)
CRECHES_CONVENIADAS.1982087,1982087,CRECHE CENTRO INFANTIL VOVÓ GERALDA LUCAS,Creches Conveniadas,31282456,RUA,PACO DA LIBERDADE,120,,Conjunto Paulo VI,NORDESTE,POINT (616419.678326951 7806750.31959618)
CRECHES_CONVENIADAS.1981775,1981775,CRECHE DONA QUITA TOLENTINO,Creches Conveniadas,31257575,RUA,BELA VISTA,54,,Santana do Cafezal,CENTRO-SUL,POINT (613931.733940126 7795189.44277914)
CRECHES_CONVENIADAS.1981797,1981797,ASSOCIAÇÃO DA ESCOLINHA INFANTIL PEDACINHO DO CÉU,Creches Conveniadas,31330787,RUA,BELA VISTA,31,,Santana do Cafezal,CENTRO-SUL,POINT (613919.752728364 7795169.65680652)
CRECHES_CONVENIADAS.1981794,1981794,CRECHE RECANTO DO MENOR,Creches Conveniadas,31290220,BECO,COQUEIROS,35,,Monte São José,CENTRO-SUL,POINT (609656.725439946 7794502.43261807)
CRECHES_CONVENIADAS.1983404,1983404,INSTITUTO  EDUCACIONAL INFANTIL GERAÇÃO DE SAMUEL,Creches Conveniadas,31373176,RUA,GASTAO DA COSTA PINHEIRO,107,,Jardim Guanabara,NORTE,POINT (611274.51052362 7807152.19795276)
CRECHES_CONVENIADAS.1982071,1982071,CRECHE ETELVINA CAETANO DE JESUS,Creches Conveniadas,31290025,RUA,OSCAR LOBO PEREIRA,115,,Primeiro de Maio,NORTE,POINT (612286.704494769 7803357.77013979)
CRECHES_CONVENIADAS.1983243,1983243,CRECHE MARIA EURIPEDES DA SILVA,Creches Conveniadas,31372781,RUA,MARIA ROSA DA SILVA,1074,,Mantiqueira,VENDA NOVA,POINT (606696.665237956 7811902.83081746)
CRECHES_CONVENIADAS.1982055,1982055,CRECHE NOSSA SENHORA DO PERPÉTUO SOCORRO,Creches Conveniadas,31282502,RUA,FRANCISCO SERRAO,45,,Taquaril,LESTE,POINT (616900.914045908 7797343.0644157)
CRECHES_CONVENIADAS.1982190,1982190,CRECHE ABRIGO CORAÇÃO DE JESUS,Creches Conveniadas,31281522,RUA,CYRILLO BASTOS,15,,Lindéia,BARREIRO,POINT (599247.575647084 7790299.31814984)
CRECHES_CONVENIADAS.1982513,1982513,INSTITUTO EDUCACIONAL ESCUDO DA VERDADE,Creches Conveniadas,31369012,RUA,EDITH MELLO SILVA,176,,Vila Vista Alegre,OESTE,POINT (605389.57522938 7793425.07191172)
CRECHES_CONVENIADAS.1983661,1983661,CRECHE PRIMEIRO PASSO,Creches Conveniadas,31384011,RUA,BERENICE PRATES,83,,Álvaro Camargos,NOROESTE,POINT (603955.677762611 7797983.82323882)
CRECHES_CONVENIADAS.1982061,1982061,CENTRO INFANTIL PUPILEIRA ERNANI AGRÍCOLA,Creches Conveniadas,31289884,RUA,SAO JOAQUIM,1177,,Sagrada Família,LESTE,POINT (613502.100714773 7799353.75514543)
CRECHES_CONVENIADAS.1982058,1982058,CRECHE IRMÃO OTHO,Creches Conveniadas,31384364,RUA,HORIZONTE,40,,Paraíso,LESTE,POINT (614373.761584644 7796347.40952277)
CRECHES_CONVENIADAS.1982192,1982192,CRECHE COMUNITÁRIA BOM MENINO,Creches Conveniadas,31257966,RUA,COLETORA DOIS,106,,Castanheira,BARREIRO,POINT (601168.2719131 7788832.30675575)
CRECHES_CONVENIADAS.1983382,1983382,CRECHE BEM VIVER,Creches Conveniadas,31377210,RUA,ITAPETINGA,2198,,Santa Cruz,NORDESTE,POINT (610189.827431193 7801324.664)
CRECHES_CONVENIADAS.1981841,1981841,CRECHE ESPERANÇA,Creches Conveniadas,31308765,RUA,NOVA PONTE,11,,Salgado Filho,OESTE,POINT (606173.804496993 7794326.33846153)
CRECHES_CONVENIADAS.1982152,1982152,CRECHE ABRIGO INFANTIL VOVÓ DUDU,Creches Conveniadas,31290343,RUA,PERDOES,339,,Padre Eustáquio,NOROESTE,POINT (607799.208832926 7797685.62468855)
CRECHES_CONVENIADAS.1981780,1981780,CRECHE VICENTINA DO SANTÍSSIMO SACRAMENTO,Creches Conveniadas,31281395,RUA,SALUTARES,200,,São Lucas,CENTRO-SUL,POINT (613242.274161007 7795592.34077043)
CRECHES_CONVENIADAS.1981774,1981774,CRECHE COMUNITÁRIA TERRA NOVA,Creches Conveniadas,31290327,RUA,DOS CARVALHOS,124,,Acaba Mundo,CENTRO-SUL,POINT (612012.043667114 7792403.10992912)
CRECHES_CONVENIADAS.1981772,1981772,CRECHE CENTRO INFANTIL SAGRADO CORAÇÃO DE JESUS,Creches Conveniadas,31290556,RUA,CORONEL FULGENCIO,205,,São Lucas,CENTRO-SUL,POINT (613215.145333273 7796108.78564957)
CRECHES_CONVENIADAS.1982199,1982199,CRECHE COMUNITÁRIA MARIA CHIQUINHA,Creches Conveniadas,31289914,RUA,DOUTOR RIBEIRO PENA,380,,Bairro das Indústrias I,BARREIRO,POINT (603464.756041216 7792707.22802676)
CRECHES_CONVENIADAS.1982062,1982062,CENTRO INFANTIL BERENICE CATÃO DE MAGALHÃES PINTO,Creches Conveniadas,31299707,RUA,SAO ROQUE,1150,,Sagrada Família,LESTE,POINT (613135.746098548 7799333.86919316)
CRECHES_CONVENIADAS.1982154,1982154,CRECHE COMUNITÁRIA LAR INFANTIL DORCAS,Creches Conveniadas,31282481,RUA,MARCAZITA,350,,Aparecida,NOROESTE,POINT (609961.219732264 7799433.54890364)
CRECHES_CONVENIADAS.1982211,1982211,CRECHE TIA CANDINHA,Creches Conveniadas,31006645,RUA,JOAO BATISTA DE ASSIS,209,,Tirol,BARREIRO,POINT (600905.509838765 7789302.74100023)
CRECHES_CONVENIADAS.1981854,1981854,CRECHE VÓ ANGELINA,Creches Conveniadas,31308790,RUA,ALVES PINTO,66,,Grajaú,OESTE,POINT (608292.137159095 7795092.13258635)
CRECHES_CONVENIADAS.1981950,1981950,CRECHE FRANCISCO DE ASSIS,Creches Conveniadas,31281875,RUA,ANTONIO OLINTO,825,,Esplanada,LESTE,POINT (614189.383590998 7798294.92066812)
CRECHES_CONVENIADAS.1983722,1983722,NÚCLEO PEDAGÓGICO PASSO A PASSO,Creches Conveniadas,31388629,RUA,BOA VISTA,32,,Venda Nova,VENDA NOVA,POINT (609572.446759235 7808212.89576264)
CRECHES_CONVENIADAS.1982076,1982076,INSTITUTO ZILAH SPÓSITO PARA O DESENVOLVIMENTO HUMANO E SOCIAL,Creches Conveniadas,31281565,RUA,CARNAUBA,928,,Zilah Spósito,NORTE,POINT (612821.142401123 7810177.92191766)
CRECHES_CONVENIADAS.1982984,1982984,CRECHE CENTRO INFANTIL UNIAO,Creches Conveniadas,31290190,RUA,ROTARY CLUB,86,,Conjunto Santa Maria,CENTRO-SUL,POINT (609083.12801903 7793508.91484573)
CRECHES_CONVENIADAS.1982057,1982057,NÚCLEO INFANTIL MARIA CÂNDIDA CORRÊA,Creches Conveniadas,31304000,RUA,PROFESSOR RAIMUNDO NONATO,220,,Santa Tereza,LESTE,POINT (613474.839953531 7797880.0551128)
CRECHES_CONVENIADAS.1982209,1982209,CRECHE LAR CRISTÃO DA CRIANÇA,Creches Conveniadas,31281867,RUA,SALVADOR PIRRI,292,,Milionários,BARREIRO,POINT (604402.374504423 7790508.1756375)
CRECHES_CONVENIADAS.1982100,1982100,CRECHE COMUNITÁRIA JESUS E AS CRIANÇAS,Creches Conveniadas,31257842,RUA,SANTA AMELIA,370,,São Marcos,NORDESTE,POINT (613894.454478064 7802400.77493339)
CRECHES_CONVENIADAS.1981842,1981842,CRECHE MADRE MAZZARELLO,Creches Conveniadas,31308684,RUA,SANTAREM,278,,Nova Cintra,OESTE,POINT (605562.540059333 7793842.72689926)
CRECHES_CONVENIADAS.1982324,1982324,SABER SISTEMA AGUIOS BAT ENS,Creches Conveniadas,31293091,RUA,SANTAREM,386,,Nova Cintra,OESTE,POINT (605774.796337355 7793708.25427077)
CRECHES_CONVENIADAS.1981850,1981850,CRECHE CASINHA FELIZ DA COMUNIDADE VILA SÃO JOSÉ,Creches Conveniadas,31308498,AVENIDA,SIDERAL,605,,Vila Madre Gertrudes I,OESTE,POINT (604275.644123438 7793581.77001627)
CRECHES_CONVENIADAS.1982158,1982158,GRUPAC GRUPO DE APOIO A CRIANÇA PADRE TEODORO,Creches Conveniadas,31309125,RUA,TIRO,50,,São Salvador,NOROESTE,POINT (603198.44000799 7800100.76309413)
CRECHES_CONVENIADAS.1981837,1981837,CRECHE PRIMEIRO DE MAIO,Creches Conveniadas,31257516,RUA,HERCULANO MOURAO SALAZAR,95,,Vila Vista Alegre,OESTE,POINT (605500.250951521 7793452.18639264)
CRECHES_CONVENIADAS.1982099,1982099,CRECHE OÁSIS,Creches Conveniadas,31291501,RUA,JOAZEIRO,41,,São Cristóvão,NORDESTE,POINT (610554.763850532 7799173.71179274)
CRECHES_CONVENIADAS.1982511,1982511,CRECHE NOSSA SENHORA AUXILIADORA DO BAIRRO SANTA MARIA,Creches Conveniadas,31309524,RUA,GONCALVES CRESPO,23,,Santa Maria,OESTE,POINT (603589.317765151 7795233.86373739)
CRECHES_CONVENIADAS.1981822,1981822,CRECHE CENTRO INFANTIL AMÉLIA CRISPIM,Creches Conveniadas,31281468,RUA,LUNDS FERREIRA,145,,Nova Vista,LESTE,POINT (615071.862093397 7800827.22522487)
CRECHES_CONVENIADAS.1983521,1983521,CRECHE AMORINHAS DO JARDIM,Creches Conveniadas,31382450,RUA,BRILHANTINA,11,,Juliana,NORTE,POINT (610748.714674827 7808612.97312148)
CRECHES_CONVENIADAS.1982088,1982088,CENTRO DE EDUCAÇÃO COMUNITÁRIA SAGRADO CORAÇÃO DE JESUS,Creches Conveniadas,31282278,RUA,MARIO MACHADO,69,,Três Marias,NORDESTE,POINT (615244.497089578 7804221.97423355)
CRECHES_CONVENIADAS.1983563,1983563,CENTRO PEDAGOGICO CASA VERDE,Creches Conveniadas,31347019,RUA,JOSUE MARTINS DE SOUZA,941,,Lagoa,VENDA NOVA,POINT (604268.813717245 7809114.99439567)
CRECHES_CONVENIADAS.1982073,1982073,CRECHE SANTA TEREZINHA DO BAIRRO JAQUELINE,Creches Conveniadas,31290106,RUA,SENHORA DO BELO RAMO,175,,Jaqueline,NORTE,POINT (611083.990383291 7809993.22951127)
CRECHES_CONVENIADAS.1981846,1981846,CASAS LARES ANA G. CASTILHO,Creches Conveniadas,31290076,RUA,DOUTOR SAMUEL HAHNEMANN,165,,Salgado Filho,OESTE,POINT (606854.56491038 7793804.2147383)
CRECHES_CONVENIADAS.1981839,1981839,LAR ESPÍRITA ESPERANÇA,Creches Conveniadas,31004383,RUA,DOUTOR SAMUEL HAHNEMANN,99,,Salgado Filho,OESTE,POINT (606757.329914442 7793809.50366175)
CRECHES_CONVENIADAS.1983503,1983503,CRECHE LAR FREI TONINHO,Creches Conveniadas,31308935,RUA,DAS AGUAS,80,,Petrópolis,BARREIRO,POINT (601421.784949 7786469.30328762)
CRECHES_CONVENIADAS.1983388,1983388,ESCOLA INFANTIL E CASA DE BRINCAR ABELHINHA DOURADAULL,Creches Conveniadas,31377228,RUA,CARLOS GARDEL,200,,Ribeiro de Abreu,NORDESTE,POINT (615310.882799906 7806092.8919)
CRECHES_CONVENIADAS.1982077,1982077,LAR CRECHE PINGO DE GENTE,Creches Conveniadas,31308536,RUA,SEBASTIAO CARDOSO ANTOLIN,132,,Jardim Guanabara,NORTE,POINT (611314.923498644 7807243.37923532)
